index,env_id,curr_pos,curr_capacity,possible_actions,action,reward,bl_action,bl_reward,done
35512,71,8,0.72,[1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0.],2,14.736149787902832,0,0.0,False
35513,71,2,0.29,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],8,0.0,8,28.34653091430664,True
36000,72,0,1.0,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],8,12.228263854980469,10,3.9691145420074463,False
36001,72,8,0.82,[1. 1. 1. 1. 1. 1. 1. 1. 0. 1. 1.],9,6.53660774230957,9,2.963651418685913,False
36002,72,9,0.57,[1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 1.],5,11.164673805236816,8,7.024111270904541,False
36003,72,5,0.12,[1. 1. 1. 1. 1. 0. 1. 1. 0. 0. 1.],0,0.0,3,4.276852607727051,False
36004,72,0,1.0,[1. 1. 1. 1. 1. 0. 1. 1. 0. 0. 1.],3,21.712425231933597,0,0.0,False
36005,72,3,0.61,[1. 1. 1. 0. 1. 0. 1. 1. 0. 0. 1.],10,12.769845962524414,5,9.962535858154297,False
36006,72,10,0.47,[1. 1. 1. 0. 1. 0. 1. 1. 0. 0. 0.],1,13.323724746704102,2,6.422843456268311,False
36007,72,1,0.13,[1. 0. 1. 0. 1. 0. 1. 1. 0. 0. 0.],0,0.0,1,16.671144485473633,False
36008,72,0,1.0,[1. 0. 1. 0. 1. 0. 1. 1. 0. 0. 0.],7,18.66421127319336,0,0.0,False
36009,72,7,0.55,[1. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0.],2,18.56489562988281,4,17.661603927612305,False
36010,72,2,0.35,[1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.],0,0.0,7,1.6022522449493408,False
36011,72,0,1.0,[1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0.],4,17.661603927612305,0,0.0,False
36012,72,4,0.57,[1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],6,19.74452781677246,6,28.899259567260746,True
36013,72,0,1.0,[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.],10,26.321882247924805,2,32.00445938110352,True
36500,73,0,1.0,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1.],1,3.3552935123443604,3,2.8929286003112797,False
36501,73,1,0.89,[1. 0. 1. 1. 1. 1. 1. 1. 1. 1. 1.],5,6.547120094299316,4,1.193735122680664,False
36502,73,5,0.54,[1. 0. 1. 1. 1. 0. 1. 1. 1. 1. 1.],10,1.7569915056228638,2,1.1075048446655271,False
36503,73,10,0.35,[1. 0. 1. 1. 1. 0. 1. 1. 1. 1. 0.],7,4.325811386108398,0,0.0,False
36504,73,7,0.0,[1. 0. 1. 1. 1. 0. 1. 0. 1. 1. 0.],0,0.0,1,3.3552935123443604,False
36505,73,0,1.0,[1. 0. 1. 1. 1. 0. 1. 0. 1. 1. 0.],4,3.102734327316284,5,6.547120094299316,False
36506,73,4,0.51,[1. 0. 1. 1. 0. 0. 1. 0. 1. 1. 0.],2,1.1075048446655271,10,1.7569915056228638,False
36507,73,2,0.29,[1. 0. 0. 1. 0. 0. 1. 0. 1. 1. 0.],3,1.2222732305526731,7,4.325811386108398,False
36508,73,3,0.02,[1. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0.],0,0.0,0,0.0,False
